Nome,Artista,Genero,Tonalidade
#SELFIE - Original Mix;The Chainsmokers;pop, Dance/Electronic;C
#thatPOWER;will.i.am;hip hop, pop;F#
Snow (Hey Oh);Red Hot Chili Peppers;rock;B
So Am I;Ava Max;pop;F#
So Gone;Monica;pop, R&B;Ab
So Sick;Ne-Yo;pop, R&B;F#
So What;P!nk;pop;B
Sober;P!nk;pop;F#
Soldier (feat. T.I. & Lil' Wayne);Destiny's Child;pop, R&B;G
Solo (feat. Demi Lovato);Clean Bandit;pop, Dance/Electronic;B
Solo Dance;Martin Jensen;pop, Dance/Electronic;F#
Soltera - Remix;Lunay;pop, latin;F
Some Cut;Trillville;hip hop, pop;C#
Somebody;Natalie La Rose;set();C
Somebody That I Used To Know;Gotye;set();C
Someday;Nickelback;rock, metal;B
Someone Like You;Adele;pop, R&B;A
Someone You Loved;Lewis Capaldi;pop;C#
Somethin' Stupid;Robbie Williams;pop, rock;C
Something;Lasgo;pop;G
Something Just Like This;The Chainsmokers;pop, Dance/Electronic;B
Something Kinda Ooooh;Girls Aloud;pop, Dance/Electronic;B
Sometimes You Can't Make It On Your Own;U2;World/Traditional, rock;D
Sonnentanz - Sun Don't Shine;Klangkarussell;pop, Dance/Electronic;F
Sorry;Beyoncé;pop, R&B;D
Sorry;Justin Bieber;pop;C
Sorry;Justin Bieber;pop;C
Sorry;Joel Corry;pop, Dance/Electronic;Ab
Sorry;Madonna;pop;C
Sorry Seems To Be The Hardest Word;Blue;pop;G
Soul Survivor;Jeezy;hip hop, pop;Bb
Sound Of The Underground;Girls Aloud;pop, Dance/Electronic;B
Southern Hospitality (Featuring Pharrell);Ludacris;hip hop, pop;C
Southside;Lloyd;hip hop, pop, R&B;A
Spectrum (Say My Name) - Calvin Harris Remix;Florence + The Machine;rock, pop, Dance/Electronic;B
Speed of Sound;Coldplay;rock, pop;B
Spinning Around;Kylie Minogue;pop, Dance/Electronic;F#
Spinning Around;Kylie Minogue;pop, Dance/Electronic;F#
Spirits;The Strumbellas;rock, Folk/Acoustic, pop;C
Splash Waterfalls;Ludacris;hip hop, pop;B
Spotlight;Jennifer Hudson;pop, R&B, easy listening;B
Spotlight;Marshmello;pop, Dance/Electronic;G
Stan;Eminem;hip hop;F#
Stand Up;Ludacris;hip hop, pop;F#
Starboy;The Weeknd;pop, R&B;G
Starlight - Radio Edit;The Supermen Lovers;Dance/Electronic;C
Starry Eyed;Ellie Goulding;pop, rock, Dance/Electronic;F
Starships;Nicki Minaj;hip hop, pop;B
Starstrukk;3OH!3;hip hop, pop, rock;B
Started From the Bottom;Drake;hip hop, pop, R&B;Ab
Starz In Their Eyes;Just Jack;Dance/Electronic;Eb
Stay;Rihanna;hip hop, pop, R&B;A
Stay The Night - Featuring Hayley Williams Of Paramore;Zedd;hip hop, pop, Dance/Electronic;Ab
Stay With Me;Sam Smith;pop;C
Steady, As She Goes;The Raconteurs;rock;A
Steal My Girl;One Direction;pop;Bb
Stereo Hearts (feat. Adam Levine);Gym Class Heroes;hip hop, pop;A
Stereo Love - Radio Edit;Edward Maya;pop;C#
Stereo Love - Radio Edit;Edward Maya;pop;C#
Stickwitu;The Pussycat Dolls;pop, R&B;A
Stickwitu;The Pussycat Dolls;pop, R&B;A
Still Fly;Big Tymers;hip hop, pop;B
Still into You;Paramore;pop, rock;F
Stir Fry;Migos;hip hop, pop;D
Stitches;Shawn Mendes;pop;C#
Stole;Kelly Rowland;hip hop, pop, R&B;G
Stole the Show;Kygo;pop, Dance/Electronic;Ab
Stole the Show;Kygo;pop, Dance/Electronic;Ab
Stolen Dance;Milky Chance;set();B
Stop And Stare;OneRepublic;pop;E
Stop Me (feat. Daniel Merriweather);Mark Ronson;pop;C
Story of My Life;One Direction;pop;Eb
Stranger in My House;Tamia;pop, R&B;C
Stressed Out;Twenty One Pilots;rock;E
Strike a Pose (feat. Aitch);Young T & Bugsey;hip hop;C#
Strip That Down;Liam Payne;pop;F#
Stronger;Kanye West;hip hop;Bb
Stronger (What Doesn't Kill You);Kelly Clarkson;pop, R&B;C
Stupid Girls;P!nk;pop;E
Stutter (feat. Mystikal) - Double Take Remix;Joe;pop, R&B;F#
Style;Taylor Swift;pop;G
Style;Taylor Swift;pop;G
Sucker;Jonas Brothers;pop;C#
Sucker for Pain (with Wiz Khalifa, Imagine Dragons, Logic & Ty Dolla $ign feat. X Ambassadors);Lil Wayne;hip hop, pop;A
Suddenly I See;KT Tunstall;World/Traditional, pop, Folk/Acoustic;C
Suffocate - Superclean;J. Holiday;hip hop, pop, R&B, Dance/Electronic;A
Suga Suga;Baby Bash;hip hop, pop, R&B, latin;F
Suga Suga;Baby Bash;hip hop, pop, R&B, latin;F
Sugar;Maroon 5;pop;C#
Sugar (feat. Francesco Yates);Robin Schulz;pop, Dance/Electronic;F
Suge;DaBaby;hip hop;D
Suit & Tie (feat. Jay-Z);Justin Timberlake;pop;B
Summer;Calvin Harris;hip hop, pop, Dance/Electronic;E
Summer Love;Justin Timberlake;pop;C
Summertime Sadness (Lana Del Rey Vs. Cedric Gervais) - Cedric Gervais Remix;Lana Del Rey;pop;C#
Sunflower - Spider-Man: Into the Spider-Verse;Post Malone;hip hop;D
Sunrise;Simply Red;rock, R&B, Folk/Acoustic, pop;F
Sunset Lover;Petit Biscuit;Dance/Electronic;F#
Sunshine (feat. Anthony Hamilton);Twista;hip hop, pop, R&B;B
Sunshine (feat. Lea);Lil' Flip;hip hop, pop;C
Super Bass;Nicki Minaj;hip hop, pop;B
Superheroes;The Script;pop, rock;Eb
Supermassive Black Hole;Muse;rock;G
Superstar;Jamelia;pop;C#
Superstar (feat. Matthew Santos);Lupe Fiasco;hip hop, pop;B
Sure Be Cool If You Did;Blake Shelton;country;B
Sure Thing;Miguel;pop, R&B;B
Survivor;Destiny's Child;pop, R&B;C#
Swalla (feat. Nicki Minaj & Ty Dolla $ign);Jason Derulo;hip hop, pop;C#
Swang;Rae Sremmurd;hip hop, pop;Ab
Sweat - Remix;Snoop Dogg;hip hop, pop;G
Sweater Weather;The Neighbourhood;rock, pop;Bb
Sweet About Me;Gabriella Cilmi;R&B;F#
Sweet Dreams;Beyoncé;pop, R&B;C#
Sweet Dreams My LA Ex - Radio Edit;Rachel Stevens;pop, Dance/Electronic;D
Sweet Lovin' - Radio Edit;Sigala;pop, Dance/Electronic;Bb
Sweet Nothing (feat. Florence Welch);Calvin Harris;hip hop, pop, Dance/Electronic;Ab
Sweet but Psycho;Ava Max;pop;C#
Sweetest Girl (Dollar Bill) (feat. Akon, Lil' Wayne & Niia);Wyclef Jean;set();C#
Swervin (feat. 6ix9ine);A Boogie Wit da Hoodie;hip hop;A
Swimming Pools (Drank) - Extended Version;Kendrick Lamar;hip hop;C#
Switch;Will Smith;hip hop, pop;F
Symphony (feat. Zara Larsson);Clean Bandit;pop, Dance/Electronic;C
T-Shirt;Migos;hip hop, pop;Bb
Tainted Love;Marilyn Manson;rock, metal;Ab
Take A Bow;Rihanna;hip hop, pop, R&B;A
Take A Look Around;Limp Bizkit;metal;B
Take Care;Drake;hip hop, pop, R&B;C
Take It Off;Kesha;pop, Dance/Electronic;F
Take Me Back to London (feat. Stormzy);Ed Sheeran;pop;Ab
Take Me Out;Franz Ferdinand;rock;E
Take Me To Church;Hozier;Folk/Acoustic, pop;E
Take Me To The Clouds Above - LMC Vs. U2 / Radio Edit;LMC;Dance/Electronic;F#
Take You There;Sean Kingston;hip hop, pop, R&B;F
Taki Taki (feat. Selena Gomez, Ozuna & Cardi B);DJ Snake;hip hop, pop, Dance/Electronic;Ab
Taki Taki (with Selena Gomez, Ozuna & Cardi B);DJ Snake;hip hop, pop, Dance/Electronic;Ab
Talk Dirty (feat. 2 Chainz);Jason Derulo;hip hop, pop;F#
Talk Dirty (feat. 2 Chainz);Jason Derulo;hip hop, pop;F#
Talking Body;Tove Lo;pop, Dance/Electronic;E
Talking Body;Tove Lo;pop, Dance/Electronic;E
Talking to the Moon;Bruno Mars;pop;C#
Taste (feat. Offset);Tyga;hip hop, pop;C
Tattoo;Jordin Sparks;pop, R&B;D
Te Amo;Rihanna;hip hop, pop, R&B;Ab
Te Boté - Remix;Nio Garcia;latin;B
Teach Me How to Dougie;Cali Swag District;hip hop, pop;B
Team;Lorde;pop, Dance/Electronic;F#
Team;Lorde;pop, Dance/Electronic;F#
Tears (feat. Louisa Johnson);Clean Bandit;pop, Dance/Electronic;F
Teenage Dirtbag;Wheatus;set();E
Teenage Dream;Katy Perry;pop;Bb
Teenagers;My Chemical Romance;rock;E
Telephone;Lady Gaga;pop;Eb
Temperature;Sean Paul;hip hop, pop;C
Thank God I Found You (feat. Joe & 98°);Mariah Carey;pop, R&B;Bb
Thank You;Dido;pop;C#
That's My Goal;Shayne Ward;pop;D
That's Not My Name;The Ting Tings;pop, rock, Dance/Electronic;A
That's the Way It Is;Céline Dion;pop;A
The Adventures of Rain Dance Maggie;Red Hot Chili Peppers;rock;E
The Boy Does Nothing;Alesha Dixon;pop;Eb
The Closest Thing to Crazy;Katie Melua;pop, easy listening, jazz;E
The Creeps - Fedde Le Grand Radio Mix;Camille Jones;set();F#
The Edge Of Glory;Lady Gaga;pop;A
The Fear;Lily Allen;pop;Bb
The Flood;Take That;pop;B
The Fox (What Does the Fox Say?);Ylvis;hip hop;F#
The Girl Is Mine;99 Souls;Dance/Electronic;A
The Git Up;Blanco Brown;hip hop, country;A
The Great Escape;Boys Like Girls;pop;C#
The Greatest (feat. Kendrick Lamar);Sia;pop;C#
The Greatest Show;Hugh Jackman;easy listening;B
The Heart Wants What It Wants;Selena Gomez;pop;G
The Heart Wants What It Wants;Selena Gomez;pop;G
The Hills;The Weeknd;pop, R&B;C
The Jump Off (feat. Mr. Cheeks) - Remix;Lil' Kim;hip hop, pop, R&B;C#
The Ketchup Song (Aserejé) - Spanglish Version;Las Ketchup;set();C#
The Kill;Thirty Seconds To Mars;rock;E
The Lazy Song;Bruno Mars;pop;Ab
The Less I Know The Better;Tame Impala;metal;E
The Logical Song;Scooter;pop, Dance/Electronic;F#
The London (feat. J. Cole & Travis Scott);Young Thug;hip hop, pop;E
The Middle;Zedd;hip hop, pop, Dance/Electronic;G
The Middle;Jimmy Eat World;rock, pop;D
The Monster;Eminem;hip hop;C#
The Motto;Drake;hip hop, pop, R&B;C#
The Next Episode;Dr. Dre;hip hop;Bb
The Nights;Avicii;pop, Dance/Electronic;F#
The Ocean (feat. Shy Martin);Mike Perry;pop, Dance/Electronic;F
The One That Got Away;Katy Perry;pop;C#
The Other Side;Jason Derulo;hip hop, pop;A
The Pretender;Foo Fighters;rock, metal;A
The Real Slim Shady;Eminem;hip hop;F
The Reason;Hoobastank;pop, rock, metal;E
The Riddle;Gigi D'Agostino;pop;F#
The Rose;Westlife;pop;A
The Seed (2.0);The Roots;hip hop;G
The Show Goes On;Lupe Fiasco;hip hop, pop;G
The Sweet Escape;Gwen Stefani;pop, R&B;C#
The Tide Is High - Radio Mix;Atomic Kitten;pop;G
The Time (Dirty Bit);Black Eyed Peas;hip hop, pop;F#
The Time Is Now;Moloko;pop, Dance/Electronic;A
The Way;Ariana Grande;pop;F
The Way I Am;Charlie Puth;pop;Bb
The Way I Are;Timbaland;hip hop, pop, R&B;Eb
The Way I Live - Main Explicit;Baby Boy Da Prince;hip hop, pop;C
The Way You Move (feat. Sleepy Brown);Outkast;hip hop, pop;F
The Way You Move (feat. Sleepy Brown);Outkast;hip hop, pop;F
The Whole World (feat. Killer Mike);Outkast;hip hop, pop;D
There You Go;P!nk;pop;Bb
There You'll Be;Faith Hill;pop, country;Ab
There's Nothing Holdin' Me Back;Shawn Mendes;pop;D
Thinking About You (feat. Ayah Marar);Calvin Harris;hip hop, pop, Dance/Electronic;C
Thinking out Loud;Ed Sheeran;pop;D
This Ain't A Scene, It's An Arms Race;Fall Out Boy;rock;A
This Ain't a Love Song;Scouting For Girls;pop, rock;C
This Feeling;The Chainsmokers;pop, Dance/Electronic;C#
This Girl - Kungs Vs. Cookin' On 3 Burners;Kungs;pop, Dance/Electronic;C
This Is How We Do;Katy Perry;pop;A
This Is Love;will.i.am;hip hop, pop;C
This Is What It Feels Like;Armin van Buuren;pop, Dance/Electronic;Ab
This Is What You Came For (feat. Rihanna);Calvin Harris;hip hop, pop, Dance/Electronic;A
This Is Why I'm Hot;MiMS;hip hop, pop;Ab
This Love;Maroon 5;pop;F
This One's for You (feat. Zara Larsson) (Official Song UEFA EURO 2016);David Guetta;hip hop, pop, Dance/Electronic;A
Thnks fr th Mmrs;Fall Out Boy;rock;Bb
Thong Song;Sisqo;hip hop, pop, R&B;D
Thotiana;Blueface;hip hop;Bb
Thrift Shop (feat. Wanz);Macklemore & Ryan Lewis;hip hop, pop;F#
Through The Wire;Kanye West;hip hop;G
Throw It In The Bag;Fabolous;hip hop, pop, R&B;B
Throw Some D's;Rich Boy;hip hop, pop;B
Thunder;Imagine Dragons;rock;C
Thunder in My Heart Again (Radio Edit);Meck;set();D
TiK ToK;Kesha;pop, Dance/Electronic;D
Tiimmy Turner;Desiigner;hip hop, pop;F#
Till the World Ends;Britney Spears;pop;Ab
Timber (feat. Ke$ha);Pitbull;hip hop, pop, latin;B
Time of Our Lives;Pitbull;hip hop, pop, latin;C#
Tip Toe (feat. French Montana);Jason Derulo;hip hop, pop;Bb
Tipsy - Club Mix;J-Kwon;hip hop, pop;A
Titanium (feat. Sia);David Guetta;hip hop, pop, Dance/Electronic;C
Tongue Tied;Grouplove;pop, rock, Folk/Acoustic;Eb
Tonight (I'm Fuckin' You);Enrique Iglesias;pop, latin;C
Tonight Tonight;Hot Chelle Rae;hip hop, pop, rock;E
Too Close;Alex Clare;rock;B
Too Good;Drake;hip hop, pop, R&B;G
Too Good At Goodbyes;Sam Smith;pop;F
Too Little Too Late;JoJo;hip hop, pop, R&B;F#
Too Lost In You;Sugababes;pop, R&B;C#
Too Lost In You;Sugababes;pop, R&B;C#
Touch It;Busta Rhymes;hip hop, pop;C#
Touch Me (Radio Edit) [feat. Cassandra];Rui Da Silva;Dance/Electronic;C
Touch My Body;Mariah Carey;pop, R&B;E
Touch The Sky;Kanye West;hip hop;A
Toxic;Britney Spears;pop;F
Trap Queen;Fetty Wap;hip hop, pop;G
Treasure;Bruno Mars;pop;F
Treat You Better;Shawn Mendes;pop;Bb
Trick Me;Kelis;pop, R&B, Dance/Electronic;C#
Trip;Ella Mai;hip hop, pop, R&B;B
Tripping;Robbie Williams;pop, rock;D
Troublemaker (feat. Flo Rida);Olly Murs;pop, Dance/Electronic;C
True;Ryan Cabrera;pop;F#
True Love (feat. Lily Allen);P!nk;pop;A
Trumpets;Jason Derulo;hip hop, pop;C
Try;P!nk;pop;D
Try;P!nk;pop;D
Try Again;Aaliyah;hip hop, pop, R&B;F#
Tuesday (feat. Danelle Sandoval);Burak Yeter;Dance/Electronic;A
Tunnel Vision;Kodak Black;hip hop;B
Turn Down for What;DJ Snake;hip hop, pop, Dance/Electronic;C#
Turn Me On;Kevin Lyttle;hip hop;A
Turn Me On (feat. Nicki Minaj);David Guetta;hip hop, pop, Dance/Electronic;Ab
Turn My Swag On;Soulja Boy;hip hop, pop;Eb
Turn Off The Light;Nelly Furtado;hip hop, pop, latin;D
Turn Up the Music;Chris Brown;hip hop, pop, R&B;C#
Turnin Me On - Original Dirty;Keri Hilson;pop, R&B;C#
U + Ur Hand;P!nk;pop;C
U Don't Have to Call;Usher;hip hop, pop, R&B;C#
U Know What's Up (feat. Lisa "Left Eye" Lopes);Donell Jones;pop, R&B;Ab
U Make Me Wanna - Radio Edit;Blue;pop;G
U and Dat (feat. T. Pain & Kandi Girl);E-40;hip hop, pop;F#
Ugly Heart;G.R.L.;pop;A
Uh Huh;B2K;hip hop, pop, R&B;D
Umbrella;Rihanna;hip hop, pop, R&B;C#
Unchained Melody;Gareth Gates;pop;Bb
Unconditionally;Katy Perry;pop;G
Under Control (feat. Hurts);Calvin Harris;hip hop, pop, Dance/Electronic;Ab
Underneath It All;No Doubt;rock, pop;E
Underneath Your Clothes;Shakira;pop, latin;Ab
Unfaithful;Rihanna;hip hop, pop, R&B;C
Unforgettable;French Montana;hip hop, pop;F#
Until The End Of Time;2Pac;hip hop;Ab
Untouched;The Veronicas;pop, Dance/Electronic;F#
Unwell;Matchbox Twenty;pop, rock;F#
Unwritten;Natasha Bedingfield;pop;F
Up (feat. Demi Lovato);Olly Murs;pop, Dance/Electronic;A
Uprising;Muse;rock;D
Uptown Funk (feat. Bruno Mars);Mark Ronson;pop;C
Vaina Loca;Ozuna;latin;F#
Valerie (feat. Amy Winehouse) - Version Revisited;Mark Ronson;pop;C#
Vertigo;U2;World/Traditional, rock;A
Violet Hill;Coldplay;rock, pop;C#
Viva La Vida;Coldplay;rock, pop;F
Vossi Bop;Stormzy;hip hop, Dance/Electronic;Ab
Wait (The Whisper Song);Ying Yang Twins;hip hop, pop;G
Wait a Minute!;WILLOW;pop, R&B, Dance/Electronic;Eb
Wait for You;Elliott Yamin;set();C
Waiting All Night (feat. Ella Eyre);Rudimental;pop, Dance/Electronic;F#
Waiting For Love;Avicii;pop, Dance/Electronic;F#
Wake Me Up;Avicii;pop, Dance/Electronic;D
Waking Up In Vegas;Katy Perry;pop;F
Walk It Out;Unk;hip hop, pop;C#
Walk It Talk It;Migos;hip hop, pop;D
Walking On A Dream;Empire of the Sun;rock, pop, Dance/Electronic;F
Wanksta - From "8 Mile" Soundtrack;50 Cent;hip hop, pop;C#
Wanna Get To Know You;G-Unit;hip hop, pop;Bb
Want U Back;Cher Lloyd;pop, Dance/Electronic;A
Wasted;Tiësto;pop, Dance/Electronic;D
Wasting My Time;Default;rock, pop, metal;D
Watch Me (Whip / Nae Nae);Silentó;hip hop;Ab
Waves - Robin Schulz Radio Edit;Mr. Probz;hip hop, Dance/Electronic;F
Wavin' Flag;K'NAAN;set();C
Way down We Go;KALEO;rock, classical;Bb
We Are Young (feat. Janelle Monáe);fun.;rock, pop;Bb
We Be Burnin';Sean Paul;hip hop, pop;C#
We Belong Together;Mariah Carey;pop, R&B;C
We Can't Stop;Miley Cyrus;pop;C#
We Come 1 - Radio Edit;Faithless;pop, Dance/Electronic;F
We Don't Talk Anymore (feat. Selena Gomez);Charlie Puth;pop;C#
We Fly High;Jim Jones;hip hop, pop;C#
We Found Love;Rihanna;hip hop, pop, R&B;C#
We Found Love;Rihanna;hip hop, pop, R&B;C#
We Made You;Eminem;hip hop;D
We No Speak Americano (JT Radio Edit);Yolanda Be Cool;Dance/Electronic;F#
We Own It (Fast & Furious);2 Chainz;hip hop, pop;C#
We R Who We R;Kesha;pop, Dance/Electronic;Ab
We'll Be Coming Back (feat. Example);Calvin Harris;hip hop, pop, Dance/Electronic;G
Weak;AJR;rock;F
Wearing My Rolex - Radio Edit;Wiley;hip hop, Dance/Electronic;C#
Welcome to the Black Parade;My Chemical Romance;rock;D
What About Us;The Saturdays;pop, Dance/Electronic;G
What About Us?;Brandy;hip hop, pop, R&B;F
What Do You Mean?;Justin Bieber;pop;F
What Goes Around.../...Comes Around (Interlude);Justin Timberlake;pop;G
What Hurts The Most;Rascal Flatts;country;F
What I've Done;Linkin Park;rock, metal;F
What Makes You Beautiful;One Direction;pop;E
What Took You So Long?;Emma Bunton;pop;A
What You Got;Colby O'Donis;hip hop, pop, R&B;C#
What You Know;Two Door Cinema Club;World/Traditional, rock, pop;F#
What You Know;T.I.;hip hop, pop;B
What You Waiting For?;Gwen Stefani;pop, R&B;F
What the Hell;Avril Lavigne;pop;F#
What'chu Like (feat. Tyrese);Da Brat;hip hop, pop, R&B;Bb
What's It Gonna Be (feat. Platnum);H "two" O;Dance/Electronic;A
What's Left Of Me;Nick Lachey;pop;G
What's Luv? (feat. Ja-Rule & Ashanti);Fat Joe;hip hop, pop;Ab
What's My Name?;Rihanna;hip hop, pop, R&B;D
What's My Name?;Rihanna;hip hop, pop, R&B;D
Whataya Want from Me;Adam Lambert;pop;B
Whatcha Say;Jason Derulo;hip hop, pop;B
Whatcha Say;Jason Derulo;hip hop, pop;B
Whatever It Takes;Imagine Dragons;rock;Bb
Whatever You Like;T.I.;hip hop, pop;A
Whatever You Like;T.I.;hip hop, pop;A
When I Grow Up;The Pussycat Dolls;pop, R&B;B
When I Was Your Man;Bruno Mars;pop;C
When I'm Gone;Eminem;hip hop;Bb
When I'm Gone;3 Doors Down;pop, rock, metal;G
When Love Takes Over (feat. Kelly Rowland);David Guetta;hip hop, pop, Dance/Electronic;B
When The Sun Goes Down;Arctic Monkeys;rock;B
When We Collide;Matt Cardle;pop;D
When We Stand Together;Nickelback;rock, metal;Bb
When You Look At Me - Radio Edit;Christina Milian;hip hop, pop, R&B;Eb
When You're Gone;Avril Lavigne;pop;E
Whenever, Wherever;Shakira;pop, latin;C#
Where Are Ü Now (with Justin Bieber);Jack Ü;pop, Dance/Electronic;E
Where Have You Been;Rihanna;hip hop, pop, R&B;C
Where I Wanna Be;Donell Jones;pop, R&B;F
Where Is The Love?;Black Eyed Peas;hip hop, pop;F
Where Them Girls At (feat. Nicki Minaj & Flo Rida);David Guetta;hip hop, pop, Dance/Electronic;Eb
Where the Party At (feat. Nelly);Jagged Edge;hip hop, pop, R&B;F
Where'd You Go (feat. Holly Brook & Jonah Matranga);Fort Minor;hip hop, pop, rock;C#
Wherever I Go;OneRepublic;pop;Bb
Wherever You Will Go;Charlene Soraia;pop;A
Wherever You Will Go;The Calling;pop;D
Whistle;Flo Rida;hip hop, pop;C
White Flag;Dido;pop;F
White Flag;Dido;pop;F
White Noise;Disclosure;pop, Dance/Electronic;Bb
Who Knew;P!nk;pop;A
Who Let The Dogs Out;Baha Men;R&B;C
Who Says;Selena Gomez & The Scene;pop, Dance/Electronic;E
Who's That Chick? (feat. Rihanna);David Guetta;hip hop, pop, Dance/Electronic;B
Whole Again;Atomic Kitten;pop;E
Why'd You Only Call Me When You're High?;Arctic Monkeys;rock;D
Wide Awake;Katy Perry;pop;F
Wifey;Next;hip hop, pop, R&B;G
Wiggle (feat. Snoop Dogg);Jason Derulo;hip hop, pop;A
Wild Ones (feat. Sia);Flo Rida;hip hop, pop;F
Wild Thoughts (feat. Rihanna & Bryson Tiller);DJ Khaled;hip hop, pop;C
Wildest Dreams;Taylor Swift;pop;Ab
Wings;Little Mix;pop;G
Wings;Birdy;pop;G
Wish You Well;Sigala;pop, Dance/Electronic;F
Wish You Were Mine - Radio Edit;Philip George;pop, Dance/Electronic;G
With Arms Wide Open;Creed;pop, rock, metal;C
With Every Heartbeat;Robyn;pop, Dance/Electronic;E
With You;Jessica Simpson;pop, R&B;C
With You;Chris Brown;hip hop, pop, R&B;Eb
Without Me;Eminem;hip hop;G
Without Me;Halsey;pop, Dance/Electronic;F#
Without You (feat. Sandro Cavazza);Avicii;pop, Dance/Electronic;D
Without You (feat. Usher);David Guetta;hip hop, pop, Dance/Electronic;D
Wolves;Selena Gomez;pop;B
Womanizer;Britney Spears;pop;B
Wonderful World;James Morrison;pop, R&B;C#
Work;Rihanna;hip hop, pop, R&B;B
Work;Kelly Rowland;hip hop, pop, R&B;Bb
Work B**ch;Britney Spears;pop;A
Work Hard, Play Hard;Wiz Khalifa;hip hop, pop;B
Work It;Missy Elliott;hip hop, pop, R&B;C#
Work It;Missy Elliott;hip hop, pop, R&B;C#
Work from Home (feat. Ty Dolla $ign);Fifth Harmony;pop;Ab
Worth It (feat. Kid Ink);Fifth Harmony;pop;Ab
Wow;Kylie Minogue;pop, Dance/Electronic;A
Wow.;Post Malone;hip hop;B
Wrapped Up (feat. Travie McCoy);Olly Murs;pop, Dance/Electronic;C#
Wrecking Ball;Miley Cyrus;pop;F
Writing's On The Wall - From "Spectre" Soundtrack;Sam Smith;pop;F
Written in the Stars (feat. Eric Turner);Tinie Tempah;hip hop, pop, Dance/Electronic;G
X;Nicky Jam;latin;A
X Gon' Give It To Ya;DMX;hip hop, pop;Bb
XO Tour Llif3;Lil Uzi Vert;hip hop;B
Yeah 3x;Chris Brown;hip hop, pop, R&B;B
Yeah! (feat. Lil Jon & Ludacris);Usher;hip hop, pop, R&B;D
Years - ラジオ・エディット;Alesso;pop, Dance/Electronic;D
Yes Indeed;Lil Baby;hip hop;F
Yo (Excuse Me Miss);Chris Brown;hip hop, pop, R&B;E
You;Lloyd;hip hop, pop, R&B;F
You Belong With Me;Taylor Swift;pop;F#
You Don't Know Me - Radio Edit;Jax Jones;hip hop, pop, Dance/Electronic;B
You Don't Know My Name;Alicia Keys;pop, R&B;A
You Don't Own Me (feat. G-Eazy);SAYGRACE;pop, R&B;G
You Don't Own Me (feat. G-Eazy);SAYGRACE;pop, R&B;G
You Found Me;The Fray;pop;Ab
You Give Me Something;James Morrison;pop, R&B;G
You Know I'm No Good;Amy Winehouse;R&B;A
You Know You Like It;DJ Snake;hip hop, pop, Dance/Electronic;F
You Know You Like It;DJ Snake;hip hop, pop, Dance/Electronic;F
You Make Me Feel... (feat. Sabi);Cobra Starship;pop, Dance/Electronic;G
You Raise Me Up;Westlife;pop;Bb
You Rock My World;Michael Jackson;pop, R&B;E
You Sang To Me;Marc Anthony;pop, latin;Bb
You're All I Have;Snow Patrol;World/Traditional, rock, pop;D
You're Beautiful;James Blunt;pop;C
You're Gonna Go Far, Kid;The Offspring;rock, pop, metal;C
Young Forever;JAY-Z;hip hop;A
Young, Wild & Free (feat. Bruno Mars);Snoop Dogg;hip hop, pop;C
Youngblood;5 Seconds of Summer;pop;G
Your Body;Pretty Ricky;hip hop, pop, R&B;E
Your Love Alone Is Not Enough (feat. Nina Persson);Manic Street Preachers;rock, pop;D
Your Love Is My Drug;Kesha;pop, Dance/Electronic;C#
Youth of the Nation;P.O.D.;rock, metal;Ab
ZEZE (feat. Travis Scott & Offset);Kodak Black;hip hop;Ab
a lot;21 Savage;hip hop;C#
bad guy;Billie Eilish;pop, Dance/Electronic;G
boyfriend (with Social House);Ariana Grande;pop;Bb
break up with your girlfriend, i'm bored;Ariana Grande;pop;F
bury a friend;Billie Eilish;pop, Dance/Electronic;Ab
changes;XXXTENTACION;hip hop;B
do re mi;blackbear;hip hop, pop, Dance/Electronic;Ab
emotions;iann dior;hip hop, pop;A
gone girl;iann dior;hip hop, pop;B
goosebumps;Travis Scott;hip hop, Dance/Electronic;G
human;Christina Perri;pop;Ab
i hate u, i love u (feat. olivia o'brien);Garrett Nash;hip hop, pop;F#
i'm so tired...;Lauv;pop, Dance/Electronic;B
lovely (with Khalid);Billie Eilish;pop, Dance/Electronic;E
lovely (with Khalid);Billie Eilish;pop, Dance/Electronic;E
m.A.A.d city;Kendrick Lamar;hip hop;D
no tears left to cry;Ariana Grande;pop;A
oui;Jeremih;hip hop, pop, R&B;F
rockstar (feat. 21 Savage);Post Malone;hip hop;F
Circles;Post Malone;hip hop;C
12/03/2026
